入替日,2025/11/13,,,,,
入替時刻,15:34,,,,,
ホール名,台番号,種類,機種名,検定番号,貸出単価,表示単価
タイホー　双葉店,81,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,82,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,83,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,85,P,ｅ　Ｒｅ：ゼロから始める異世界生活　ｓｅａｓｏｎ２Ｍ１３,310353,4.16,500円/120玉
タイホー　双葉店,86,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮,1P0653,4.16,500円/120玉
タイホー　双葉店,87,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮,1P0653,4.16,500円/120玉
タイホー　双葉店,88,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮,1P0653,4.16,500円/120玉
タイホー　双葉店,100,P,Ｐ新世紀エヴァンゲリオン１５　未来への咆哮,1P0653,4.16,500円/120玉
タイホー　双葉店,101,P,Ｐシン・エヴァンゲリオンＸ,3P0912,4.16,500円/120玉
タイホー　双葉店,102,P,Ｐシン・エヴァンゲリオンＸ,3P0912,4.16,500円/120玉
タイホー　双葉店,103,P,Ｐシン・エヴァンゲリオンＸ,3P0912,4.16,500円/120玉
タイホー　双葉店,105,P,Ｐとある科学の超電磁砲２ＪＭＢ,4P0379,4.16,500円/120玉
タイホー　双葉店,106,P,Ｐとある科学の超電磁砲２ＪＭＢ,4P0379,4.16,500円/120玉
タイホー　双葉店,107,P,Ｐ北斗の拳暴凶星ＳＦＰＡ,2P1336,4.16,500円/120玉
タイホー　双葉店,108,P,Ｐ北斗の拳暴凶星ＳＦＰＡ,2P1336,4.16,500円/120玉
タイホー　双葉店,110,P,Ｐ北斗の拳暴凶星ＳＦＰＡ,2P1336,4.16,500円/120玉
タイホー　双葉店,111,P,Ｐフィーバー機動戦士ガンダムユニコーン２　Ｓ,410029,4.16,500円/120玉
タイホー　双葉店,112,P,Ｐフィーバー機動戦士ガンダムユニコーン２　Ｓ,410029,4.16,500円/120玉
タイホー　双葉店,113,P,Ｐ戦国乙女７Ｌ９ＹＹ７,4P1184,4.16,500円/120玉
タイホー　双葉店,115,P,Ｐ戦国乙女７Ｌ９ＹＹ７,4P1184,4.16,500円/120玉
タイホー　双葉店,116,P,Ｐ戦国乙女７Ｌ９ＹＹ７,4P1184,4.16,500円/120玉
タイホー　双葉店,117,P,Ｐ転生したらスライムだった件ＮＢ,4P0575,4.16,500円/120玉
タイホー　双葉店,118,P,Ｐ転生したらスライムだった件ＮＢ,4P0575,4.16,500円/120玉
タイホー　双葉店,120,P,Ｐ転生したらスライムだった件ＮＢ,4P0575,4.16,500円/120玉
タイホー　双葉店,121,P,Ｐ麻雀物語４Ｍ１ＡＵ１Ｙ,1P1449,4.16,500円/120玉
タイホー　双葉店,122,P,Ｐフィーバー三国戦騎７５００,3P1560,4.16,500円/120玉
タイホー　双葉店,123,P,Ｐバキ３１９Ｈ１ＹＺ２,1P0341,4.16,500円/120玉
タイホー　双葉店,125,P,Ｐ真・牙狼２－ＲＰ,210103,4.16,500円/120玉
タイホー　双葉店,126,P,ＰフィーバーからくりサーカスＶ,210057,4.16,500円/120玉
タイホー　双葉店,127,P,Ｐフィーバースプラッシュ×スプラッシュ,2P1725,4.16,500円/120玉
タイホー　双葉店,128,P,Ｐ蒼穹のファフナー　超蒼穹３８００Ａ,1P1006,4.16,500円/120玉
タイホー　双葉店,130,P,Ｐ銀河英雄伝説ＤＮＴＬ５－Ｘ,310300,4.16,500円/120玉
タイホー　双葉店,131,P,ＰバンドリＨ１ＹＺ４,410039,4.16,500円/120玉
タイホー　双葉店,132,P,ＰゴブリンスレイヤーＪＧＺ,210358,4.16,500円/120玉
タイホー　双葉店,133,P,Ｐフィーバーかぐや様は告らせたいＲ,310267,4.16,500円/120玉
タイホー　双葉店,135,P,Ｐリング　呪いの７日間２　ＪＮ,0P0076,4.16,500円/120玉
タイホー　双葉店,136,P,Ｐコードギアス　反逆のルルーシュ３Ｖ,2P1697,4.16,500円/120玉
タイホー　双葉店,137,P,Ｐ盾の勇者の成り上がりＧＦＰＣ,4P0754,4.16,500円/120玉
タイホー　双葉店,138,P,Ｐ宇宙戦艦ヤマト２２０２－３Ｇ,410355,4.16,500円/120玉
タイホー　双葉店,150,P,Ｐ世界最高の暗殺者、異世界貴族に転生するＪＭＢ,4P1053,4.16,500円/120玉
タイホー　双葉店,151,P,Ｐクイーンズブレイド４Ｖ１Ｄ,310623,4.16,500円/120玉
タイホー　双葉店,152,P,Ｐ百花繚乱ＦＭ－ＪＦ,310172,4.16,500円/120玉
タイホー　双葉店,153,P,ＰＤＤ北斗の拳３Ｖ１Ｃ,4P0114,4.16,500円/120玉
タイホー　双葉店,155,P,Ｐうまい棒４５００から１０５００Ｖ１,0P1413,4.16,500円/120玉
タイホー　双葉店,156,P,ｅぱちんこソードアート・オンラインＫ１２,3P0755,4.16,500円/120玉
タイホー　双葉店,157,P,ｅソードアート・オンライン～閃光の軌跡～Ｋ７,4P1194,4.16,500円/120玉
タイホー　双葉店,158,P,ｅソードアート・オンライン～閃光の軌跡～Ｋ７,4P1194,4.16,500円/120玉
タイホー　双葉店,160,P,ｅソードアート・オンライン～閃光の軌跡～Ｋ７,4P1194,4.16,500円/120玉
タイホー　双葉店,161,P,ｅグリッドマンＸＶＳＭ,4P0497,4.16,500円/120玉
タイホー　双葉店,162,P,ｅ乃木坂４６ⅡＫ４,4P0586,4.16,500円/120玉
タイホー　双葉店,163,P,ｅルパン三世１３Ｈ４ＹＺ６,3P0948,4.16,500円/120玉
タイホー　双葉店,165,P,ｅフィーバー機動戦士ガンダムユニコーン２　Ｒ,4P0301,4.16,500円/120玉
タイホー　双葉店,166,P,ｅ大工の源さん超韋駄天２ＥＨＬＤ,410515,4.16,500円/120玉
タイホー　双葉店,167,P,ｅ花の慶次～裂一刀両断ＤＬ２－ＭＸ,3P0090,4.16,500円/120玉
タイホー　双葉店,168,P,ｅ義風堂々！！～兼続と慶次～３ＤＭ５－Ｓ,3P0273,4.16,500円/120玉
タイホー　双葉店,170,P,ｅ閃乱カグラＬＴＭ－ＪＦ,410681,4.16,500円/120玉
タイホー　双葉店,171,P,ＰフィーバークィーンＲＵＳＨ－Ｙ,1P1857,4.16,500円/120玉
タイホー　双葉店,172,P,ＰモンスターハンターライズＧＲＰＧ,410328,4.16,500円/120玉
タイホー　双葉店,173,P,ＰぱちんこＧＡＮＴＺ覚醒ＭＪ４,310213,4.16,500円/120玉
タイホー　双葉店,175,P,Ｐ真北斗無双４下剋上闘ＧＲＰＪ,3P0884,4.16,500円/120玉
タイホー　双葉店,176,P,Ｐ戦国乙女レジェンドバトルＭ２ＡＺ１Ｙ,110128,4.16,500円/120玉
タイホー　双葉店,177,P,Ｐフィーバー機動戦士ガンダム逆襲のシャアＺ,9P0732,4.16,500円/120玉
タイホー　双葉店,178,P,Ｐギンパラ夢幻カーニバルＨＴＫ,0P0969,4.16,500円/120玉
タイホー　双葉店,180,P,Ｐ緋弾のアリア　～緋弾覚醒編～ＦＶＡ,0P1472,4.16,500円/120玉
タイホー　双葉店,181,P,Ｐやじきた道中記ＭＭ,2P1622,4.16,500円/120玉
タイホー　双葉店,182,P,Ｐこの素晴らしい世界に祝福を！ＬＴ３,310564,4.16,500円/120玉
タイホー　双葉店,183,P,Ｐ七つの美徳Ｖ１Ｇ,1P1843,4.16,500円/120玉
タイホー　双葉店,185,P,Ｐハイスクール・フリート２ＭＨ,3P0424,4.16,500円/120玉
タイホー　双葉店,186,P,Ｐ頭文字ＤＧＲＰＥ,3P0750,4.16,500円/120玉
タイホー　双葉店,187,P,Ｐ黄門ちゃま８Ｌ９ＡＺ１,1P1747,4.16,500円/120玉
タイホー　双葉店,188,P,Ｐモモキュンソード閃撃ＭＤ,1P0169,4.16,500円/120玉
